Jan. 19, 2017   14:05:09
Amperometric i-t Curve
File: c:\users\nanopittet\desktop\transloc\p9aunp.txt
Data Source:  Experiment
Instrument Model:  CHI1030C
Header: 
Note: 

Init E (V) = -6
Sample Interval (s) = 0.002
Run Time (sec) = 300
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-6


Time/sec, Current/A

4.040e-1, -5.492e-9
4.060e-1, -6.105e-9
4.080e-1, -6.412e-9
4.100e-1, -6.719e-9
4.120e-1, -6.105e-9
4.140e-1, -5.492e-9
4.160e-1, -5.185e-9
4.180e-1, -5.185e-9
4.200e-1, -5.185e-9
4.220e-1, -5.799e-9
4.240e-1, -6.412e-9
4.260e-1, -6.412e-9
4.280e-1, -6.412e-9
4.300e-1, -5.799e-9
4.320e-1, -4.878e-9
4.340e-1, -5.185e-9
4.360e-1, -4.878e-9
4.380e-1, -5.492e-9
4.400e-1, -6.412e-9
4.420e-1, -6.719e-9
4.440e-1, -6.719e-9
4.460e-1, -5.799e-9
4.480e-1, -5.185e-9
4.500e-1, -5.185e-9
4.520e-1, -4.878e-9
4.540e-1, -5.492e-9
4.560e-1, -6.105e-9
4.580e-1, -6.412e-9
4.600e-1, -6.412e-9
4.620e-1, -6.105e-9
4.640e-1, -5.492e-9
4.660e-1, -4.878e-9
4.680e-1, -5.185e-9
4.700e-1, -5.185e-9
4.720e-1, -5.799e-9
4.740e-1, -6.412e-9
4.760e-1, -6.412e-9
4.780e-1, -6.412e-9
4.800e-1, -5.492e-9
4.820e-1, -4.878e-9
4.840e-1, -4.878e-9
4.860e-1, -4.878e-9
4.880e-1, -5.492e-9
4.900e-1, -6.412e-9
4.920e-1, -6.412e-9
4.940e-1, -6.412e-9
4.960e-1, -5.799e-9
4.980e-1, -5.185e-9
5.000e-1, -5.185e-9
5.020e-1, -4.878e-9
5.040e-1, -5.492e-9
5.060e-1, -6.105e-9
5.080e-1, -6.412e-9
5.100e-1, -6.412e-9
5.120e-1, -6.105e-9
5.140e-1, -5.492e-9
5.160e-1, -4.878e-9
5.180e-1, -5.185e-9
5.200e-1, -5.185e-9
5.220e-1, -5.799e-9
5.240e-1, -6.412e-9
5.260e-1, -6.412e-9
5.280e-1, -6.412e-9
5.300e-1, -5.492e-9
5.320e-1, -4.878e-9
5.340e-1, -4.878e-9
5.360e-1, -4.878e-9
5.380e-1, -5.492e-9
5.400e-1, -6.412e-9
5.420e-1, -6.412e-9
5.440e-1, -6.412e-9
5.460e-1, -5.799e-9
5.480e-1, -5.185e-9
5.500e-1, -4.878e-9
5.520e-1, -4.878e-9
5.540e-1, -5.492e-9
5.560e-1, -6.105e-9
5.580e-1, -6.412e-9
5.600e-1, -6.412e-9
5.620e-1, -6.105e-9
5.640e-1, -5.492e-9
5.660e-1, -4.878e-9
5.680e-1, -4.878e-9
5.700e-1, -5.185e-9
5.720e-1, -5.799e-9
5.740e-1, -6.412e-9
5.760e-1, -6.412e-9
5.780e-1, -6.412e-9
5.800e-1, -5.492e-9
5.820e-1, -4.878e-9
5.840e-1, -4.878e-9
5.860e-1, -4.878e-9
5.880e-1, -5.492e-9
5.900e-1, -6.412e-9
5.920e-1, -6.412e-9
5.940e-1, -6.412e-9
5.960e-1, -5.799e-9
5.980e-1, -5.185e-9
6.000e-1, -4.878e-9
6.020e-1, -4.878e-9
6.040e-1, -5.492e-9
6.060e-1, -6.105e-9
6.080e-1, -6.412e-9
6.100e-1, -6.412e-9
6.120e-1, -6.105e-9
6.140e-1, -5.185e-9
6.160e-1, -4.878e-9
6.180e-1, -4.878e-9
6.200e-1, -5.185e-9
6.220e-1, -5.492e-9
6.240e-1, -6.412e-9
6.260e-1, -6.412e-9
6.280e-1, -6.412e-9
6.300e-1, -5.492e-9
6.320e-1, -4.878e-9
6.340e-1, -4.878e-9
6.360e-1, -4.571e-9
6.380e-1, -5.492e-9
6.400e-1, -6.412e-9
6.420e-1, -6.412e-9
6.440e-1, -6.412e-9
6.460e-1, -5.799e-9
6.480e-1, -5.185e-9
6.500e-1, -4.878e-9
6.520e-1, -4.571e-9
6.540e-1, -5.492e-9
6.560e-1, -5.799e-9
6.580e-1, -6.412e-9
6.600e-1, -6.412e-9
6.620e-1, -6.105e-9
6.640e-1, -5.185e-9
6.660e-1, -4.878e-9
6.680e-1, -4.878e-9
6.700e-1, -4.878e-9
6.720e-1, -5.492e-9
6.740e-1, -6.105e-9
6.760e-1, -6.412e-9
6.780e-1, -6.105e-9
6.800e-1, -5.492e-9
6.820e-1, -4.571e-9
6.840e-1, -4.878e-9
6.860e-1, -4.878e-9
6.880e-1, -5.492e-9
6.900e-1, -6.105e-9
6.920e-1, -6.412e-9
6.940e-1, -6.412e-9
6.960e-1, -5.492e-9
6.980e-1, -5.185e-9
7.000e-1, -4.878e-9
7.020e-1, -4.878e-9
7.040e-1, -5.185e-9
7.060e-1, -5.799e-9
7.080e-1, -6.105e-9
7.100e-1, -6.412e-9
7.120e-1, -6.105e-9
7.140e-1, -5.185e-9
7.160e-1, -4.878e-9
7.180e-1, -4.878e-9
7.200e-1, -4.878e-9
7.220e-1, -5.492e-9
7.240e-1, -6.105e-9
7.260e-1, -6.412e-9
7.280e-1, -6.105e-9
7.300e-1, -5.492e-9
7.320e-1, -4.878e-9
7.340e-1, -4.878e-9
7.360e-1, -4.571e-9
7.380e-1, -5.492e-9
7.400e-1, -6.105e-9
7.420e-1, -6.105e-9
7.440e-1, -6.412e-9
7.460e-1, -5.799e-9
7.480e-1, -4.878e-9
7.500e-1, -4.878e-9
7.520e-1, -4.571e-9
7.540e-1, -5.185e-9
7.560e-1, -5.799e-9
7.580e-1, -6.105e-9
7.600e-1, -6.412e-9
7.620e-1, -6.105e-9
7.640e-1, -5.185e-9
7.660e-1, -4.878e-9
7.680e-1, -4.878e-9
7.700e-1, -4.878e-9
7.720e-1, -5.492e-9
7.740e-1, -6.105e-9
7.760e-1, -6.412e-9
7.780e-1, -6.105e-9
7.800e-1, -5.492e-9
7.820e-1, -4.571e-9
7.840e-1, -4.878e-9
7.860e-1, -4.571e-9
7.880e-1, -5.492e-9
7.900e-1, -6.105e-9
7.920e-1, -6.105e-9
7.940e-1, -6.412e-9
7.960e-1, -5.492e-9
7.980e-1, -4.878e-9
8.000e-1, -4.878e-9
