Nov. 10, 2015   10:07:12
Linear Sweep Voltammetry
File: e:\10-11\ph17 mcf10a\acid\aa4.txt
Data Source:  Experiment
Instrument Model:  CHI1030C
Ref. Electrode: 
Header: 
Note: 

Init E (V) = -1
Final E (V) = 1
Scan Rate (V/s) = 0.1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7

Potential/V, Current/A

-0.770, -2.012e-9
-0.769, -1.965e-9
-0.768, -2.026e-9
-0.767, -2.165e-9
-0.766, -2.013e-9
-0.765, -2.117e-9
-0.764, -2.056e-9
-0.763, -2.120e-9
-0.762, -2.326e-9
-0.761, -2.274e-9
-0.760, -2.412e-9
-0.759, -2.249e-9
-0.758, -2.213e-9
-0.757, -2.361e-9
-0.756, -2.354e-9
-0.755, -2.477e-9
-0.754, -2.478e-9
-0.753, -2.483e-9
-0.752, -2.825e-9
-0.751, -2.894e-9
-0.750, -2.937e-9
-0.749, -2.698e-9
-0.748, -2.882e-9
-0.747, -3.051e-9
-0.746, -3.324e-9
-0.745, -3.553e-9
-0.744, -3.558e-9
-0.743, -3.933e-9
-0.742, -4.251e-9
-0.741, -4.780e-9
-0.740, -5.231e-9
-0.739, -5.173e-9
-0.738, -5.343e-9
-0.737, -5.655e-9
-0.736, -6.320e-9
-0.735, -6.722e-9
-0.734, -6.949e-9
-0.733, -7.212e-9
-0.732, -8.021e-9
-0.731, -9.094e-9
-0.730, -9.147e-9
-0.729, -9.647e-9
-0.728, -1.009e-8
-0.727, -1.058e-8
-0.726, -1.222e-8
-0.725, -1.387e-8
-0.724, -1.243e-8
-0.723, -1.062e-8
-0.722, -1.063e-8
-0.721, -1.069e-8
-0.720, -1.184e-8
-0.719, -1.151e-8
-0.718, -1.314e-8
-0.717, -1.458e-8
-0.716, -1.182e-8
-0.715, -8.378e-9
-0.714, -6.199e-9
-0.713, -5.947e-9
-0.712, -6.576e-9
-0.711, -6.977e-9
-0.710, -7.343e-9
-0.709, -8.339e-9
-0.708, -9.363e-9
-0.707, -1.014e-8
-0.706, -1.010e-8
-0.705, -1.094e-8
-0.704, -1.166e-8
-0.703, -1.162e-8
-0.702, -1.177e-8
-0.701, -1.216e-8
-0.700, -1.378e-8
-0.699, -1.717e-8
-0.698, -1.638e-8
-0.697, -1.195e-8
-0.696, -8.122e-9
-0.695, -6.471e-9
-0.694, -5.672e-9
-0.693, -5.809e-9
-0.692, -6.131e-9
-0.691, -5.953e-9
-0.690, -5.834e-9
-0.689, -6.908e-9
-0.688, -6.790e-9
-0.687, -5.854e-9
-0.686, -5.848e-9
-0.685, -6.428e-9
-0.684, -6.957e-9
-0.683, -6.900e-9
-0.682, -7.870e-9
-0.681, -8.237e-9
-0.680, -8.817e-9
-0.679, -9.403e-9
-0.678, -9.236e-9
-0.677, -9.566e-9
-0.676, -1.007e-8
-0.675, -1.030e-8
-0.674, -1.087e-8
-0.673, -1.100e-8
-0.672, -1.070e-8
-0.671, -1.107e-8
-0.670, -1.128e-8
-0.669, -1.032e-8
