Nov. 10, 2015   10:06:34
Linear Sweep Voltammetry
File: e:\10-11\ph17 mcf10a\acid\aa3.txt
Data Source:  Experiment
Instrument Model:  CHI1030C
Ref. Electrode: 
Header: 
Note: 

Init E (V) = -1
Final E (V) = 1
Scan Rate (V/s) = 0.1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7


Potential/V, Current/A

-0.770, -3.811e-10
-0.769, -5.394e-10
-0.768, -4.422e-10
-0.767, -4.625e-10
-0.766, -5.336e-10
-0.765, -3.894e-10
-0.764, -5.474e-10
-0.763, -4.582e-10
-0.762, -4.935e-10
-0.761, -5.403e-10
-0.760, -3.785e-10
-0.759, -5.367e-10
-0.758, -4.656e-10
-0.757, -4.804e-10
-0.756, -5.310e-10
-0.755, -4.084e-10
-0.754, -5.644e-10
-0.753, -4.786e-10
-0.752, -4.976e-10
-0.751, -5.400e-10
-0.750, -3.728e-10
-0.749, -5.023e-10
-0.748, -3.994e-10
-0.747, -4.312e-10
-0.746, -5.109e-10
-0.745, -3.743e-10
-0.744, -5.267e-10
-0.743, -4.431e-10
-0.742, -4.503e-10
-0.741, -5.062e-10
-0.740, -3.618e-10
-0.739, -4.916e-10
-0.738, -3.861e-10
-0.737, -4.122e-10
-0.736, -4.790e-10
-0.735, -3.417e-10
-0.734, -4.878e-10
-0.733, -3.903e-10
-0.732, -4.169e-10
-0.731, -4.820e-10
-0.730, -3.415e-10
-0.729, -4.887e-10
-0.728, -3.888e-10
-0.727, -4.129e-10
-0.726, -4.805e-10
-0.725, -3.412e-10
-0.724, -4.932e-10
-0.723, -4.008e-10
-0.722, -4.160e-10
-0.721, -4.720e-10
-0.720, -3.335e-10
-0.719, -4.885e-10
-0.718, -3.964e-10
-0.717, -4.157e-10
-0.716, -4.905e-10
-0.715, -3.544e-10
-0.714, -5.188e-10
-0.713, -4.353e-10
-0.712, -4.683e-10
-0.711, -5.302e-10
-0.710, -3.771e-10
-0.709, -5.152e-10
-0.708, -4.133e-10
-0.707, -4.388e-10
-0.706, -5.060e-10
-0.705, -3.749e-10
-0.704, -5.131e-10
-0.703, -4.022e-10
-0.702, -4.196e-10
-0.701, -4.809e-10
-0.700, -3.340e-10
-0.699, -4.802e-10
-0.698, -3.895e-10
-0.697, -4.140e-10
-0.696, -4.677e-10
-0.695, -3.319e-10
-0.694, -4.843e-10
-0.693, -3.795e-10
-0.692, -4.052e-10
-0.691, -4.725e-10
-0.690, -3.372e-10
-0.689, -4.750e-10
-0.688, -3.720e-10
-0.687, -3.947e-10
-0.686, -4.569e-10
-0.685, -3.230e-10
-0.684, -4.739e-10
-0.683, -3.704e-10
-0.682, -3.887e-10
-0.681, -4.499e-10
-0.680, -3.078e-10
-0.679, -4.532e-10
-0.678, -3.555e-10
-0.677, -3.849e-10
-0.676, -4.511e-10
-0.675, -3.087e-10
-0.674, -4.584e-10
-0.673, -3.577e-10
-0.672, -3.879e-10
-0.671, -4.533e-10
-0.670, -3.215e-10
-0.669, -4.646e-10
-0.668, -3.553e-10
-0.667, -3.825e-10
-0.666, -4.468e-10
-0.665, -3.019e-10
-0.664, -4.474e-10
-0.663, -3.491e-10
-0.662, -3.757e-10
-0.661, -4.394e-10
-0.660, -3.111e-10
-0.659, -4.595e-10
-0.658, -3.527e-10
-0.657, -3.787e-10
-0.656, -4.420e-10
-0.655, -3.156e-10
-0.654, -4.663e-10
-0.653, -3.686e-10
-0.652, -3.999e-10
-0.651, -4.663e-10
-0.650, -3.228e-10
-0.649, -4.668e-10
-0.648, -3.656e-10
-0.647, -4.019e-10
-0.646, -4.617e-10
-0.645, -3.190e-10
-0.644, -4.597e-10
-0.643, -3.505e-10
-0.642, -3.700e-10
-0.641, -4.336e-10
-0.640, -3.130e-10
-0.639, -4.564e-10
-0.638, -3.525e-10
-0.637, -3.803e-10
-0.636, -4.340e-10
-0.635, -2.949e-10
-0.634, -4.348e-10
-0.633, -3.298e-10
-0.632, -3.622e-10
-0.631, -4.162e-10
-0.630, -2.738e-10
-0.629, -4.195e-10
-0.628, -3.187e-10
-0.627, -3.547e-10
-0.626, -4.116e-10
-0.625, -2.714e-10
-0.624, -4.136e-10
-0.623, -3.115e-10
-0.622, -3.418e-10
