Title	Concetration	Data

0.1 : 158.64	0.1	158.64482259570445
0.5 : 160.04	0.5	160.0389810590903
0.0 : 152.69	0.0	152.6868331332532
1.0 : 155.87	1.0	155.86981686007715
3.0 : 156.18	3.0	156.1820474856611
Linear regression	0	154.45267581490992
Linear regression	0.9199999999999999	156.68450022675725
Linear regression	3.0	161.73036411441205
Est:2 : 159.3	2.0	159.30446801457802
