Nov. 10, 2015   10:07:50
Linear Sweep Voltammetry
File: e:\10-11\ph17 mcf10a\acid\aa5.txt
Data Source:  Experiment
Instrument Model:  CHI1030C
Ref. Electrode: 
Header: 
Note: 

Init E (V) = -1
Final E (V) = 1
Scan Rate (V/s) = 0.1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7

Potential/V, Current/A

-1.000, -1.361e-8
-0.999, -1.069e-8
-0.998, -1.168e-8
-0.997, -1.153e-8
-0.996, -1.589e-8
-0.995, -1.313e-8
-0.994, -8.895e-9
-0.993, -1.024e-8
-0.992, -1.443e-8
-0.991, -1.870e-8
-0.990, -1.233e-8
-0.989, -5.337e-9
-0.988, -4.434e-9
-0.987, -4.978e-9
-0.986, -5.065e-9
-0.985, -5.813e-9
-0.984, -6.616e-9
-0.983, -7.969e-9
-0.982, -9.863e-9
-0.981, -1.251e-8
-0.980, -1.556e-8
-0.979, -2.103e-8
-0.978, -2.008e-8
-0.977, -1.515e-8
-0.976, -1.015e-8
-0.975, -5.869e-9
-0.974, -3.663e-9
-0.973, -4.610e-9
-0.972, -5.765e-9
-0.971, -6.653e-9
-0.970, -7.230e-9
-0.969, -7.503e-9
-0.968, -8.053e-9
-0.967, -9.187e-9
-0.966, -1.004e-8
-0.965, -1.238e-8
-0.964, -1.495e-8
-0.963, -2.248e-8
-0.962, -2.005e-8
-0.961, -1.463e-8
-0.960, -1.062e-8
-0.959, -8.105e-9
-0.958, -6.347e-9
-0.957, -4.280e-9
-0.956, -3.442e-9
-0.955, -4.643e-9
-0.954, -5.454e-9
-0.953, -5.328e-9
-0.952, -6.072e-9
-0.951, -6.085e-9
-0.950, -6.938e-9
-0.949, -7.351e-9
-0.948, -7.894e-9
-0.947, -8.346e-9
-0.946, -9.627e-9
-0.945, -1.049e-8
-0.944, -1.452e-8
-0.943, -1.501e-8
-0.942, -2.364e-8
-0.941, -2.519e-8
-0.940, -1.983e-8
-0.939, -1.401e-8
-0.938, -9.881e-9
-0.937, -6.914e-9
-0.936, -4.017e-9
-0.935, -2.707e-9
-0.934, -2.338e-9
-0.933, -2.237e-9
-0.932, -2.482e-9
-0.931, -2.461e-9
-0.930, -2.709e-9
-0.929, -2.809e-9
-0.928, -2.873e-9
-0.927, -3.068e-9
-0.926, -3.220e-9
-0.925, -4.299e-9
-0.924, -5.124e-9
-0.923, -4.974e-9
-0.922, -5.871e-9
-0.921, -5.755e-9
-0.920, -5.620e-9
-0.919, -6.438e-9
-0.918, -8.320e-9
-0.917, -8.081e-9
-0.916, -7.196e-9
-0.915, -8.524e-9
-0.914, -9.685e-9
-0.913, -1.066e-8
-0.912, -1.222e-8
-0.911, -1.556e-8
-0.910, -1.628e-8
-0.909, -1.743e-8
-0.908, -1.736e-8
-0.907, -1.698e-8
-0.906, -1.583e-8
-0.905, -1.475e-8
-0.904, -1.262e-8
-0.903, -1.067e-8
-0.902, -8.933e-9
-0.901, -7.054e-9
-0.900, -5.868e-9
-0.899, -4.632e-9
-0.898, -4.086e-9
-0.897, -3.926e-9
-0.896, -3.660e-9
-0.895, -3.705e-9
-0.894, -4.654e-9
-0.893, -5.059e-9
-0.892, -4.749e-9
-0.891, -4.737e-9
-0.890, -5.158e-9
-0.889, -5.010e-9
-0.888, -6.182e-9
-0.887, -6.157e-9
-0.886, -6.569e-9
-0.885, -7.377e-9
-0.884, -7.946e-9
-0.883, -8.429e-9
-0.882, -9.161e-9
-0.881, -9.572e-9
-0.880, -1.068e-8
-0.879, -1.129e-8
-0.878, -1.227e-8
-0.877, -1.524e-8
-0.876, -1.091e-8
-0.875, -9.992e-9
-0.874, -1.072e-8
-0.873, -1.073e-8
-0.872, -1.171e-8
-0.871, -1.228e-8
-0.870, -1.423e-8
-0.869, -1.146e-8
-0.868, -1.039e-8
-0.867, -1.113e-8
-0.866, -1.127e-8
-0.865, -1.235e-8
-0.864, -1.300e-8
-0.863, -1.369e-8
-0.862, -1.442e-8
-0.861, -1.887e-8
-0.860, -2.238e-8
-0.859, -1.799e-8
-0.858, -1.336e-8
-0.857, -1.040e-8
-0.856, -8.133e-9
-0.855, -6.391e-9
-0.854, -4.697e-9
-0.853, -3.609e-9
-0.852, -3.145e-9
-0.851, -2.870e-9
-0.850, -2.948e-9
-0.849, -2.770e-9
-0.848, -2.781e-9
-0.847, -2.895e-9
-0.846, -2.675e-9
-0.845, -2.747e-9
-0.844, -2.657e-9
-0.843, -2.632e-9
-0.842, -2.672e-9
-0.841, -2.520e-9
-0.840, -2.680e-9
-0.839, -2.620e-9
-0.838, -2.719e-9
-0.837, -2.810e-9
-0.836, -2.647e-9
-0.835, -2.843e-9
-0.834, -2.852e-9
-0.833, -2.908e-9
-0.832, -3.022e-9
-0.831, -2.923e-9
-0.830, -3.098e-9
-0.829, -2.989e-9
-0.828, -3.190e-9
-0.827, -3.195e-9
-0.826, -3.114e-9
-0.825, -3.406e-9
-0.824, -3.212e-9
-0.823, -3.199e-9
-0.822, -3.381e-9
-0.821, -3.395e-9
-0.820, -3.569e-9
-0.819, -3.316e-9
-0.818, -3.247e-9
-0.817, -3.361e-9
-0.816, -3.258e-9
-0.815, -3.446e-9
-0.814, -3.395e-9
-0.813, -3.464e-9
-0.812, -3.537e-9
-0.811, -3.584e-9
-0.810, -3.565e-9
-0.809, -3.362e-9
-0.808, -3.478e-9
-0.807, -3.557e-9
-0.806, -3.478e-9
-0.805, -3.693e-9
-0.804, -3.587e-9
-0.803, -3.635e-9
-0.802, -3.637e-9
-0.801, -3.342e-9
-0.800, -3.397e-9
-0.799, -3.282e-9
-0.798, -3.401e-9
-0.797, -3.394e-9
-0.796, -3.403e-9
-0.795, -3.529e-9
-0.794, -3.341e-9
-0.793, -3.378e-9
-0.792, -3.492e-9
-0.791, -3.401e-9
